colour	y	yend	PANEL	group
#00BFC4	0.5	0.5	1	1
#F8766D	0.5	0.5	1	2
#00BFC4	0.5	0.5	2	3
#F8766D	0.5	0.5	2	4
#00BFC4	0.5	0.5	3	5
#F8766D	0.5	0.5	3	6
#00BFC4	0.5	0.5	4	7
#F8766D	0.5	0.5	4	8
#00BFC4	0.5	0.5	5	9
#F8766D	0.5	0.5	5	10
#00BFC4	0.5	0.5	6	11
#F8766D	0.5	0.5	6	12
#00BFC4	0.5	0.5	7	13
#F8766D	0.5	0.5	7	14
#00BFC4	0.5	0.5	8	15
#F8766D	0.5	0.5	8	16
#00BFC4	0.5	0.5	9	17
#F8766D	0.5	0.5	9	18
#00BFC4	0.5	0.5	10	19
#F8766D	0.5	0.5	10	20
#00BFC4	0.5	0.5	11	21
#F8766D	0.5	0.5	11	22
#00BFC4	0.5	0.5	12	23
#F8766D	0.5	0.5	12	24
#00BFC4	0.5	0.5	13	25
#F8766D	0.5	0.5	13	26
#00BFC4	0.5	0.5	14	27
#F8766D	0.5	0.5	14	28
#00BFC4	0.5	0.5	15	29
#F8766D	0.5	0.5	15	30
#00BFC4	0.5	0.5	16	31
#F8766D	0.5	0.5	16	32
#00BFC4	0.5	0.5	17	33
#F8766D	0.5	0.5	17	34
#00BFC4	0.5	0.5	18	35
#F8766D	0.5	0.5	18	36
#00BFC4	0.5	0.5	19	37
#F8766D	0.5	0.5	19	38
#00BFC4	0.5	0.5	20	39
#F8766D	0.5	0.5	20	40
#00BFC4	0.5	0.5	21	41
#F8766D	0.5	0.5	21	42
#00BFC4	0.5	0.5	22	43
#F8766D	0.5	0.5	22	44
#00BFC4	0.5	0.5	23	45
#F8766D	0.5	0.5	23	46
#00BFC4	0.5	0.5	24	47
#F8766D	0.5	0.5	24	48
